Línea_aérea,Línea_aérea_Id,Aeropuerto_origen,Aeropuerto_origen_Id,Aeropuerto_destino,Aeropuerto_destino_Id,Vuelo_operado,Número_paradas,Modelo_avión,Distancia_km
AI,218,IST,1701,BOM,2997,Y,0,330,4816.9228243319985
AI,218,IST,1701,DEL,3093,Y,0,330,4555.65586305066
AI,218,IXA,3038,CCU,3043,,0,319,316.35564970283633
AI,218,IXB,3040,CCU,3043,,0,319 320,447.6041612655775
AI,218,IXB,3040,DEL,3093,,0,321,1124.4573820542505
AI,218,IXC,3089,DEL,3093,,0,321,236.10445857059398
AI,218,IXD,3080,BOM,2997,,0,CR7,1152.3804316882745
AI,218,IXD,3080,DEL,3093,,0,CR7 ATR,575.1561081555504
AI,218,IXE,3143,BLR,3131,,0,ATR,305.9615460759317
AI,218,IXE,3143,BOM,2997,,0,321,714.3034255016723
AI,218,IXJ,3100,DEL,3093,,0,320,506.72761047910103
AI,218,IXJ,3100,IXL,3104,,0,319,298.3055194248943
AI,218,IXJ,3100,SXR,3112,,0,320,144.35971749842474
AI,218,IXL,3104,DEL,3093,,0,319,620.3264973910696
AI,218,IXL,3104,IXJ,3100,,0,319,298.3055194248943
AI,218,IXL,3104,SXR,3112,,0,319,255.74553263645598
AI,218,IXM,3142,MAA,3144,,0,319,417.22401057392364
AI,218,IXR,3063,DEL,3093,,0,321,1007.0334307471804
AI,218,IXS,3055,CCU,3043,,0,ATR 319 320,524.6827184142074
AI,218,IXS,3055,GAU,6173,,0,ATR,192.59347678404424
AI,218,IXS,3055,IMF,3050,,0,ATR,94.1237461760873
AI,218,IXU,2996,BOM,2997,,0,321,278.68153090330816
AI,218,IXU,2996,DEL,3093,,0,319,982.4780996633539
AI,218,IXZ,3146,CCU,3043,,0,319,1305.3275450402534
AI,218,IXZ,3146,DEL,3093,,0,CR7,2483.445667386651
AI,218,IXZ,3146,MAA,3144,,0,321,1371.7085963093814
AI,218,JAI,3098,BOM,2997,,0,319,910.7563003914704
AI,218,JAI,3098,DEL,3093,,0,319,231.55318261542135
AI,218,JDH,3097,BOM,2997,,0,319,796.1385780186639
AI,218,JDH,3097,DEL,3093,,0,319,475.5098970451849
AI,218,JED,2072,BOM,2997,,0,77W,3516.6349690205616
AI,218,JED,2072,CCJ,3137,,0,744,4081.8257314755056
AI,218,JED,2072,DEL,3093,,0,77W,3877.282361970975
AI,218,JFK,3797,DEL,3093,,0,77W,11747.103945809373
AI,218,JFK,3797,LHR,507,Y,0,772,5536.166027990832
AI,218,JGA,3010,BOM,2997,,0,319,478.3086274464985
AI,218,JLR,3009,DEL,3093,,0,CR7,667.3902982278662
AI,218,JNB,813,BOM,2997,Y,0,332,6959.626307170007
AI,218,KBL,2050,DEL,3093,,0,320,1000.6634261108896
AI,218,KIX,3992,HKG,3077,,0,788,2474.0772510570014
AI,218,KNU,3101,DEL,3093,,0,ATR,398.87731591790816
AI,218,KTM,3125,CCU,3043,,0,319,640.4911470938056
AI,218,KTM,3125,DEL,3093,,0,320 321,814.6533497500844
AI,218,KTM,3125,VNS,3084,,0,321,351.9972303505713
AI,218,KUL,3304,SIN,3316,Y,0,333 772,297.28545611872227
AI,218,KUU,3085,DEL,3093,,0,ATR,367.8792834370721
AI,218,KWI,2176,AMD,2994,,0,320,2547.945139137789
AI,218,KWI,2176,GOI,3007,,0,320,3060.6692486411052
AI,218,LAX,3484,NRT,2279,Y,0,388,8748.319071631706
AI,218,LHR,507,BOM,2997,,0,788,7208.512482341772
AI,218,LHR,507,DEL,3093,,0,788 77W,6727.06133430997
AI,218,LHR,507,JFK,3797,Y,0,772,5536.166027990832
AI,218,LKO,3105,BOM,2997,,0,320,1182.84021082726
AI,218,LKO,3105,DED,3092,,0,CR7,463.8827793030999
AI,218,LKO,3105,DEL,3093,,0,321,423.20911294191006
AI,218,LUH,3103,DEL,3093,,0,ATR,277.4594002934057
AI,218,MAA,3144,BLR,3131,,0,320,267.5825312097895
AI,218,MAA,3144,BOM,2997,,0,319 332 320,1032.7559917643139
AI,218,MAA,3144,CCU,3043,,0,319,1384.8353175083919
AI,218,MAA,3144,CMB,3024,,0,321,646.3060096488075
AI,218,MAA,3144,COK,3136,,0,319,517.3368066404934
AI,218,MAA,3144,DEL,3093,,0,321 320 332 319,1759.7552287688143
AI,218,MAA,3144,FRA,340,Y,0,343,7589.101211061376
AI,218,MAA,3144,GOI,3007,,0,320,732.6144100490164
AI,218,MAA,3144,IXM,3142,,0,319,417.22401057392364
AI,218,MAA,3144,IXZ,3146,,0,321,1371.7085963093814
AI,218,MAA,3144,MCT,2194,,0,319,2587.1705362400685
AI,218,MAA,3144,MRU,893,Y,0,332,4453.0262658064785
AI,218,MAA,3144,SHJ,2191,,0,321,2920.542295110023
AI,218,MAA,3144,SIN,3316,,0,332,2923.4788398072087
AI,218,MAA,3144,TRV,3153,,0,320,613.7693510689278
AI,218,MCT,2194,BOM,2997,,0,320,1589.2524906759077
AI,218,MCT,2194,DEL,3093,,0,320,1955.3654807269222
AI,218,MCT,2194,MAA,3144,,0,319,2587.1705362400685
AI,218,MEL,3339,DEL,3093,,0,788,10185.36104284525
AI,218,MEL,3339,SYD,3361,,0,788,704.9588007780661
AI,218,MLE,3156,TRV,3153,,0,320,606.2159901083402
AI,218,MRU,893,BLR,3131,Y,0,332,4330.247639054725
AI,218,MRU,893,BOM,2997,Y,0,332,4692.385406845714
AI,218,MRU,893,DEL,3093,Y,0,332,5829.9008213941115
AI,218,MUC,346,BOM,2997,Y,0,333,6308.209680958624
AI,218,MUC,346,DEL,3093,Y,0,346,5895.7467270578545
AI,218,NAG,3015,BOM,2997,,0,319,682.1642203885615
AI,218,NAG,3015,RPR,3020,,0,319,279.150626147765
AI,218,NRT,2279,DEL,3093,,0,788,5905.127771041995
AI,218,NRT,2279,LAX,3484,Y,0,388,8748.319071631706
AI,218,NRT,2279,SIN,3316,Y,0,388,5354.221220348258
AI,218,ORD,3830,DEL,3093,,0,77W,12013.728459411746
AI,218,PAT,3061,DEL,3093,,0,319,856.1747737674498
AI,218,PNQ,3017,DEL,3093,,0,320 321,1155.7391374622612
AI,218,PNQ,3017,GOI,3007,,0,319,355.86851492179505
AI,218,PVG,3406,DEL,3093,,0,788,4288.781210681448
AI,218,RAJ,3019,BOM,2997,,0,319,418.5546191859955
AI,218,RGN,3239,CCU,3043,,0,320,1026.1977036948979
AI,218,RPR,3020,DEL,3093,,0,319,944.2379268714533
AI,218,RPR,3020,VTZ,3066,,0,319,414.7182952901839
AI,218,RUH,2082,BOM,2997,,0,77W,2768.639325786172
AI,218,RUH,2082,CCJ,3137,,0,77W,3439.80491372136
AI,218,RUH,2082,DEL,3093,,0,77W 77L,3035.160996793588
AI,218,RUH,2082,TRV,3153,,0,77W,3685.818800241382
AI,218,SFO,3469,HKG,3077,Y,0,77W,11121.159843538919
AI,218,SFO,3469,ICN,3930,Y,0,77W,9079.56148229857
AI,218,SHJ,2191,CCJ,3137,,0,321,2665.313242091369
AI,218,SHJ,2191,COK,3136,,0,320,2772.6844445552842
AI,218,SHJ,2191,MAA,3144,,0,321,2920.542295110023
AI,218,SHJ,2191,TRV,3153,,0,320,2937.687650301537
AI,218,SHL,6172,CCU,3043,,0,ATR,492.89281615442724
AI,218,SIN,3316,BKK,3885,Y,0,772,1416.0139691129457
AI,218,SIN,3316,CCU,3043,Y,0,333,2902.142875635982
AI,218,SIN,3316,DEL,3093,,0,788,4156.803791708171
AI,218,SIN,3316,HKG,3077,Y,0,77W,2563.964974309986
AI,218,SIN,3316,ICN,3930,Y,0,77W,4624.469699757285
AI,218,SIN,3316,KUL,3304,Y,0,333 772,297.28545611872227
AI,218,SIN,3316,MAA,3144,,0,332,2923.4788398072087
AI,218,SIN,3316,NRT,2279,Y,0,388,5354.221220348258
AI,218,STV,3022,DEL,3093,,0,CR7,937.4433029899678
AI,218,SXR,3112,DEL,3093,,0,321 319,641.6296591229886
AI,218,SXR,3112,IXJ,3100,,0,320,144.35971749842474
AI,218,SXR,3112,IXL,3104,,0,319,255.74553263645598
AI,218,SYD,3361,DEL,3093,,0,788,10428.82012599012
AI,218,SYD,3361,MEL,3339,,0,788,704.9588007780661
AI,218,TRV,3153,BLR,3131,,0,320,531.0160024795695
AI,218,TRV,3153,BOM,2997,,0,319,1256.9172554636111
AI,218,TRV,3153,COK,3136,,0,321,194.07074271094706
AI,218,TRV,3153,MAA,3144,,0,320,613.7693510689278
AI,218,TRV,3153,MLE,3156,,0,320,606.2159901083402
AI,218,TRV,3153,RUH,2082,,0,77W,3685.818800241382
AI,218,TRV,3153,SHJ,2191,,0,320,2937.687650301537
AI,218,UDR,3023,BOM,2997,,0,319,623.4854614767934
AI,218,UDR,3023,DEL,3093,,0,319,542.2504454054235
AI,218,VIE,1613,DEL,3093,Y,0,767,5542.5256628396
AI,218,VNS,3084,AGR,3079,,0,320,523.3435887585802
AI,218,VNS,3084,BOM,2997,,0,319,1246.5019191804884
AI,218,VNS,3084,DEL,3093,,0,320 321,666.5818282416553
AI,218,VNS,3084,KTM,3125,,0,321,351.9972303505713
